fileName,variableName,description,unitText
vaccines_effectiveness_synthetic_dataset_v.1.0.1.csv,person_id,Pseudoid  of the person included in the cohort,
vaccines_effectiveness_synthetic_dataset_v.1.0.1.csv,age_nm,Age of the person included in  the cohort (at the time of entering the cohort),years
vaccines_effectiveness_synthetic_dataset_v.1.0.1.csv,sex_cd,Sex of the person included in  the cohort (at the time of entering the cohort),
vaccines_effectiveness_synthetic_dataset_v.1.0.1.csv,socecon_lvl_cd,Socioeconomic level of the person in the cohort (at the time  of entering the cohort),
vaccines_effectiveness_synthetic_dataset_v.1.0.1.csv,residence_area_cd,Area of residence of the person included in the cohort (NUTS  3) (at the time of entering the cohort),
vaccines_effectiveness_synthetic_dataset_v.1.0.1.csv,country_cd,Country of residence of the person included in the cohort (at  the time of entering the cohort),
vaccines_effectiveness_synthetic_dataset_v.1.0.1.csv,foreign_bl,Is the country of residence different from the country that is  doing the analyses?,
vaccines_effectiveness_synthetic_dataset_v.1.0.1.csv,exitus_dt,Date of death of the person (if the person has died),
vaccines_effectiveness_synthetic_dataset_v.1.0.1.csv,exitus_bl,Date of death of the person (if the person has died during the  period of study),
vaccines_effectiveness_synthetic_dataset_v.1.0.1.csv,essential_worker_bl,Is the person included in the cohort an essential worker? (at  the time of entering the cohort),
vaccines_effectiveness_synthetic_dataset_v.1.0.1.csv,institutionalized_bl,Is the person included in the cohort institutionalized? (at  the time of entering the cohort),
vaccines_effectiveness_synthetic_dataset_v.1.0.1.csv,dose_1_brand_cd,Brand of first dose of the vaccine,
vaccines_effectiveness_synthetic_dataset_v.1.0.1.csv,dose_1_dt,Date of the first dose of the vaccine,
vaccines_effectiveness_synthetic_dataset_v.1.0.1.csv,dose_2_brand_cd,Brand of second dose of the vaccine,
vaccines_effectiveness_synthetic_dataset_v.1.0.1.csv,dose_2_dt,Date of the second dose of the vaccine,
vaccines_effectiveness_synthetic_dataset_v.1.0.1.csv,dose_3_brand_cd,Brand of third dose of the vaccine,
vaccines_effectiveness_synthetic_dataset_v.1.0.1.csv,dose_3_dt,Date of the third dose of the vaccine,
vaccines_effectiveness_synthetic_dataset_v.1.0.1.csv,number_doses,Number of doses (independently of the vaccine brand) received  by a person during the period of study,
vaccines_effectiveness_synthetic_dataset_v.1.0.1.csv,fully_vaccinated_dt,Date on which the person included in the cohort is considered  fully vaccinated,
vaccines_effectiveness_synthetic_dataset_v.1.0.1.csv,fully_vaccinated_bl,Is the person included in the cohort fully vaccinated?,
vaccines_effectiveness_synthetic_dataset_v.1.0.1.csv,vaccination_schedule_cd,Vaccine types received for 1st and 2nd dose concatenated with  hyphen,
vaccines_effectiveness_synthetic_dataset_v.1.0.1.csv,confirmed_case_dt,Date of diagnosis or test result positive of the last  known/confirmed infection,
vaccines_effectiveness_synthetic_dataset_v.1.0.1.csv,confirmed_case_bl,Is the person included in the cohort a confirmed COVID-19  case?,
vaccines_effectiveness_synthetic_dataset_v.1.0.1.csv,previous_infection_dt,"If the person experienced a confirmed infection proceeding the  last confirmed infection with more than 60 days, date of diagnosis of this  previous infection",
vaccines_effectiveness_synthetic_dataset_v.1.0.1.csv,previous_infection_bl,Did the person experience a confirmed infection proceeding the  last confirmed infection?,
vaccines_effectiveness_synthetic_dataset_v.1.0.1.csv,test_type_cd,Type of COVID-19 test used to detect the last known SARS-CoV-2  infection (i.e. first positive test for SARS-CoV-2),
vaccines_effectiveness_synthetic_dataset_v.1.0.1.csv,variant_cd,Identified variant (WHO label) for last known SARS-CoV-2  infection,
vaccines_effectiveness_synthetic_dataset_v.1.0.1.csv,diabetes_bl,Does the person included in the cohort suffer from type II  diabetes (at the time of entering the cohort)?,
vaccines_effectiveness_synthetic_dataset_v.1.0.1.csv,obesity_bl,Does the person included in the cohort suffer from obesity (at  the time of entering the cohort)? ,
vaccines_effectiveness_synthetic_dataset_v.1.0.1.csv,heart_failure_bl,Does the person included in the cohort suffer from heart  failure (at the time of entering the cohort)?,
vaccines_effectiveness_synthetic_dataset_v.1.0.1.csv,copd_bl,Does the person included in the cohort suffer from chronic  lung disease (at the time of entering the cohort)?,
vaccines_effectiveness_synthetic_dataset_v.1.0.1.csv,solid_tumor_without_metastasis_bl,Does the person included in the cohort suffer from solid  cancer without metastatis (at the time of entering the cohort)?,
vaccines_effectiveness_synthetic_dataset_v.1.0.1.csv,chronic_kidney_disease_bl,Does the person included in the cohort suffer from chronic  kidney disease (at the time of entering the cohort)?,
vaccines_effectiveness_synthetic_dataset_v.1.0.1.csv,sickle_cell_disease_bl,Does the person included in the cohort suffer from sickle cell  disease (at the time of entering the cohort)?,
vaccines_effectiveness_synthetic_dataset_v.1.0.1.csv,hypertension_bl,Does the person included in the cohort suffer from  hypertension (at the time of entering the cohort)?,
vaccines_effectiveness_synthetic_dataset_v.1.0.1.csv,blood_cancer_bl,Does the person included in the cohort suffer from blood  cancer (leukemia) (at the time of entering the cohort)?,
vaccines_effectiveness_synthetic_dataset_v.1.0.1.csv,transplanted_bl,Is the person included in the cohort a transplant patient  (i.e. solid organ transplantation) (at the time of entering the cohort)?,
vaccines_effectiveness_synthetic_dataset_v.1.0.1.csv,hiv_infection_bl,Does the person included in the cohort suffer from a HIV  infection (at the time of entering the cohort)?,
vaccines_effectiveness_synthetic_dataset_v.1.0.1.csv,primary_immunodeficiency_bl,Does the person included in the cohort suffer from a primary  immuno deficiency disease (lymphoma) (at the time of entering the cohort)?,
vaccines_effectiveness_synthetic_dataset_v.1.0.1.csv,immunosuppression_bl,Does the person included in the cohort suffer from drugs  induced immunosuppression (at the time of entering the cohort)?,
vaccines_effectiveness_synthetic_dataset_v.1.0.1.csv,pregnancy_bl,Is the person included in the cohort pregnant (at the time of  entering the cohort)?,
